id|ret
25011|用 户 来 电 反 映 自 己 通 过 联 通 公 司 购 买 了 两 某 某 人 充 值 卡 ， 第 一 某 某 人 到 账 了 1 0 0 元 ， 我 方 查 询 到 账 记 录 ， 用 户 不 认 可 ， 要 求 我 方 核 实 ， 烦 请 后 台 处 理 ， 谢 谢 ！
25012|用 户 来 电 称 申 请 办 理 宽 带 ， 订 单 号 ： * * * * * * * * ， 用 户 称 一 直 没 有 人 联 系 ， 用 户 要 求 我 方 尽 快 安 排 装 机 人 员 上 门 安 装 ， 用 户 比 较 着 急 ， 请 尽 快 处 理 ， 谢 谢
25013|用 户 来 电 称 自 己 办 理 了 长 话 花 呗 金 融 购 机 合 约 2 4 个 月 预 存 0 元 分 期 1 0 0 0 元 购 机 款 - 全 家 福 1 6 6 元 档 专 属 ， 但 是 用 户 称 自 己 找 不 到 办 理 的 地 方 ， 我 方 建 议 用 户 通 过 手 机 营 业 厅 查 询 是 否 有 查 询 到 电 子 券 ， 用 户 称 自 己 找 不 到 ， 用 户 要 求 我 方 核 实 ， 请 处 理 ， 谢 谢
25014|用 户 来 电 对 2 0 2 1 0 1 月 产 生 的 1 9 元 的 流 量 费 有 疑 义 ， 我 方 经 系 统 查 询 安 上 网 日 志 向 用 户 解 释 ， 用 户 不 认 可 ， 用 户 不 认 可 要 求 核 实 原 因 ， 请 处 理 ， 谢 谢 。
25015|用 户 来 电 查 询 自 己 上 个 月 账 单 ， 我 方 查 询 到 用 户 办 理 了 沃 家 组 网 家 庭 w i f i   服 务 ， 每 月 3 1 年 有 路 由 器 自 动 使 用 ， 用 户 称 没 有 告 知 需 要 收 取 费 用 ， 我 方 查 询 到 用 户 办 理 的 沃 家 组 网 家 庭 w i f i   服 务 每 月 3 1 年 有 路 由 器 自 动 使 用 ， 用 户 称 没 有 告 知 需 要 收 取 费 用 ， 用 户 要 求 我 方 核 实 并 回 电 ， 请 处 理 ， 谢 谢 ！
25016|非 常 感 谢 您 向 我 们 提 供 这 些 宝 贵 信 息 ， 我 们 已 经 对 您 反 应 的 问 题 进 行 记 录 反 馈 ， 同 时 我 公 司 也 会 持 续 优 化 网 络 ， 建 议 您 留 意 以 后 的 使 用 情 况 ， 谢 谢 ！ ; 投 诉 现 象 最 近 发 生 时 间 ： 一 直 信 号 不 好 ;
25017|用 户 来 电 称 在 2 0 2 1 - 0 1 - 1 5   1 5 :   0 0 :   0 0 去 鲁 谷 营 业 厅 办 理 手 机 卡 业 务 ， 用 户 称 给 一 个 1 5 元 话 费 的 号 码 充 值 了 1 5 0 元 ， 用 户 称 营 业 厅 人 员 给 用 户 把 1 5 元 话 费 给 用 户 退 还 了 ， 用 户 对 此 不 认 可 ， 用 户 称 自 己 已 经 把 1 5 元 话 费 给 用 户 退 还 了 ， 用 户 要 求 我 方 核 实 处 理 ， 请 尽 快 处 理 ， 谢 谢 ！
25018|用 户 来 电 反 映 手 机 在 所 有 地 方 均 无 法 连 接 网 络 ， 查 询 用 户 手 机 状 态 正 常 ， 已 为 用 户 一 键 体 检 ， 无 效 ； 建 议 用 户 换 机 尝 试 ， 用 户 不 认 可 ， 要 求 投 诉 ， 请 尽 快 处 理 ， 谢 谢 。
25019|用 户 来 电 对 2 0 2 0 0 1   月 份 产 生 的 4 3 4 . 1 6 元 流 量 费 不 认 可 ， 我 方 经 系 统 查 询 安 上 网 日 志 向 用 户 解 释 ， 用 户 不 认 可 ， 称 自 己 没 有 使 用 过 ， 考 虑 用 户 情 况 ， 我 方 承 诺 为 其 核 减 4 3 4 . 1 6 元 ， 同 时 告 知 一 次 性 处 理 ， 无 法 打 印 发 票 ， 3 - 5   工 作 日 到 账 ， 用 户 认 可 ， 我 方 报 结 束 语 挂 机 （ 仅 调 账 ）
25020|用 户 来 电 反 映 手 机 在 所 有 地 方 均 无 法 连 接 网 络 ， 查 询 用 户 手 机 状 态 正 常 ， 已 为 用 户 一 键 体 检 ， 无 效 ； 建 议 用 户 换 机 尝 试 ， 用 户 不 认 可 ， 要 求 投 诉 ， 请 尽 快 处 理 ， 谢 谢 。
25021|用 户 来 电 对 2 0 2 1 0 1 月 产 生 的 1 2 0 元 的 流 量 费 有 疑 义 ， 我 方 经 系 统 查 询 安 上 网 日 志 向 用 户 解 释 ， 用 户 不 认 可 ， 我 方 按 快 速 处 理 向 用 户 核 减 费 用 ， 用 户 不 认 可 要 求 核 实 原 因 ， 请 处 理 ， 谢 谢 。
25022|用 户 来 电 反 映 自 己 在 永 泰 中 路 营 业 厅 办 理 套 餐 变 更 ， 营 业 厅 人 员 告 知 用 户 无 法 更 改 ， 用 户 对 此 不 认 可 ， 要 求 我 方 尽 快 处 理 ， 请 处 理 谢 谢 ！
25023|用 户 来 电 反 映 对 2 0 2 1 0 1   月 份 产 生 的 1 0 1 . 1 0 元 流 量 费 用 存 在 疑 义 ， 按 移 动 上 网 日 志 向 用 户 正 常 解 释 ， 用 户 不 认 可 ， 我 方 按 照 快 速 流 程 核 减 费 用 ， 用 户 仍 不 认 可 ， 强 烈 要 求 我 方 查 询 具 体 原 因 ， 请 处 理 并 回 复 ， 谢 谢 ！
25024|用 户 来 电 反 映 自 己 手 机 没 有 响 过 ， 但 是 漏 话 提 醒 基 础 版 就 没 有 了 ， 用 户 对 此 不 认 可 ， 要 求 我 方 核 实 原 因 ， 请 处 理 ， 谢 谢 ！
25025|非 常 感 谢 您 向 我 们 提 供 这 些 宝 贵 信 息 ， 我 们 已 经 对 您 反 应 的 问 题 进 行 记 录 反 馈 ， 同 时 我 公 司 也 会 持 续 优 化 网 络 ， 建 议 您 留 意 以 后 的 使 用 情 况 ， 谢 谢 ！ ; 投 诉 现 象 最 近 发 生 时 间 ： 以 前 信 号 很 好 ， 最 近 信 号 不 好 ;
25026|* * * * * * * * 某 某 人 用 户 来 电 反 映 ， 办 理 了 花 呗 金 融 购 机 ， 称 本 月 1 月 1 日 收 到 花 呗 还 款 红 包 4 7 . 2 2 元 ， 称 自 己 在 花 呗 里 面 没 有 还 款 券 ， 称 自 己 没 有 使 用 ， 已 按 移 动 用 户 上 网 流 量 明 细 正 常 解 释 ， 不 认 可 ， 称 自 己 办 理 的 时 候 没 有 提 示 ， 要 求 核 查 原 因 ， 烦 请 核 实 并 回 复 ， 谢 谢 ！
25027|非 常 感 谢 您 向 我 们 提 供 这 些 宝 贵 信 息 ， 我 们 已 经 对 您 反 应 的 问 题 进 行 记 录 反 馈 ， 同 时 我 公 司 也 会 持 续 优 化 网 络 ， 建 议 您 留 意 以 后 的 使 用 情 况 ， 谢 谢 ！ ; 投 诉 现 象 最 近 发 生 时 间 ： 以 前 信 号 很 好 ， 最 近 信 号 不 好 ;
25028|非 常 感 谢 您 向 我 们 提 供 这 些 宝 贵 信 息 ， 我 们 已 经 对 您 反 应 的 问 题 进 行 记 录 反 馈 ， 同 时 我 公 司 也 会 持 续 优 化 网 络 ， 建 议 您 留 意 以 后 的 使 用 情 况 ， 谢 谢 ！ ; 投 诉 现 象 最 近 发 生 时 间 ： 以 前 信 号 很 好 ， 最 近 信 号 不 好 ;
25029|用 户 来 电 反 馈 ， 自 己 的 号 码 为 什 么 无 法 上 网 ， 我 方 查 询 到 用 户 的 号 码 状 态 是 正 常 的 ， 用 户 强 烈 不 认 可 ， 烦 请 后 台 处 理 ， 谢 谢 ！
25030|非 常 感 谢 您 向 我 们 提 供 这 些 宝 贵 信 息 ， 我 们 已 经 对 您 反 应 的 问 题 进 行 记 录 反 馈 ， 同 时 我 公 司 也 会 持 续 优 化 网 络 ， 建 议 您 留 意 以 后 的 使 用 情 况 ， 谢 谢 ！ ; 投 诉 现 象 最 近 发 生 时 间 ： 一 直 信 号 不 好 ;
25031|用 户 来 电 称 自 己 的 手 机 号 码 办 理 了 联 通 秘 书 ， 但 是 自 己 的 联 通 秘 书 功 能 还 是 有 延 迟 ， 我 方 查 询 用 户 从 昨 天 开 始 联 通 秘 书 已 经 开 通 了 ， 请 尽 快 核 实 处 理 谢 谢 ！
25032|用 户 来 电 反 映 自 己 号 码 一 直 接 到 联 通 电 话 ， 告 知 用 户 是 之 前 用 户 朱 威 的 号 码 ， 用 户 称 自 己 是 之 前 用 户 ， 用 户 称 自 己 是 联 通 的 老 用 户 ， 用 户 要 求 我 方 把 之 前 的 号 码 退 给 自 己 ， 请 处 理 ， 谢 谢 ！
25033|用 户 来 电 反 映 自 己 在 2 0 2 1 - 0 1 - 0 9   1 5 :   1 5 :   1 5 去 营 业 厅 办 理 了 5 G 升 级 包 2 9 元 档 专 享 7 折 优 惠 - 次 月 生 效 业 务 ， 用 户 称 自 己 没 有 办 理 成 功 ， 但 是 用 户 称 自 己 没 有 要 求 办 理 ， 我 方 已 正 常 向 用 户 解 释 ， 用 户 对 此 强 烈 不 认 可 ， 要 求 我 方 为 其 上 报 反 馈 处 理 ， 烦 请 处 理 ， 谢 谢 ！
25034|用 户 来 电 反 映 自 己 在 手 机 营 业 厅 用 积 分 兑 换 了 一 个 小 环 ， 现 在 用 不 了 了 ， 用 户 表 示 自 己 在 1 月 4 号 兑 换 的 ， 兑 换 的 时 候 显 示 质 量 问 题 ， 用 户 表 示 自 己 在 积 分 商 城 用 积 分 兑 换 的 小 环 比 较 多 ， 要 求 我 方 核 实 原 因 ， 请 处 理 ， 谢 谢 ！
25035|*   *   *   ， 用 户 来 电 称 自 己 的 手 机 号 码 总 是 接 不 到 电 话 ， 我 方 建 议 用 户 重 启 手 机 ， 用 户 不 认 可 ， 请 处 理 ， 谢 谢
25036|用 户 来 电 称 自 己 没 有 时 间 去 营 业 厅 办 理 注 销 ， 但 是 有 一 某 某 人 副 卡 丢 失 ， 无 法 去 营 业 厅 办 理 ， 用 户 要 求 我 方 协 助 注 销 ， 请 处 理 ， 谢 谢
25037|用 户 来 电 对 2 0 2 1 . 0 1 月 产 生 的 1 4 0 . 0 0 元 的 流 量 费 有 疑 义 ， 我 方 经 系 统 查 询 安 上 网 日 志 向 用 户 解 释 ， 用 户 不 认 可 ， 我 方 按 快 速 处 理 向 用 户 核 减 费 用 ， 用 户 不 认 可 要 求 核 实 原 因 ， 请 处 理 ， 谢 谢 。
25038|用 户 来 电 反 映 自 己 登 录 不 了 手 机 营 业 厅 ， 我 方 建 议 用 户 换 个 时 间 段 再 试 一 下 ， 用 户 不 认 可 ， 要 求 我 方 反 馈 回 复 此 问 题 ， 请 处 理 ， 谢 谢 ！
25039|*   *   *   ， 用 户 来 电 反 映 自 己 没 有 办 理 过 承 诺 通 信 费 得 流 量 - 次 月 生 效 （ 合 约 1 2 个 月 ） ， 我 方 查 询 到 用 户 办 理 的 承 诺 通 信 费 得 流 量 - 次 月 生 效 （ 合 约 1 2 个 月 ） 业 务 ， 用 户 不 认 可 ， 称 自 己 没 有 办 理 过 ， 要 求 我 方 核 实 情 况 ， 给 自 己 进 行 处 理 ， 请 处 理 ， 谢 谢
25040|* * * * * * * * 用 户 来 电 反 映 ， 2 0 2 0 - 1 1 - 1 1   1 6 :   1 1 :   0 6   通 过 北 京 联 通 微 信 公 众 号 - 1 2 . 1 2   感 恩 回 馈 活 动 ， 称 自 己 在 沃 钱 包 支 付 的 方 式 支 付 了 2 0 元 话 费 券 ， 用 户 称 自 己 没 有 使 用 ， 要 求 核 实 原 因 ， 请 尽 快 处 理 并 回 复 。
25041|用 户 来 电 反 馈 自 己 号 码 * * * * * * * * 想 办 理 一 个 半 年 包 ， 我 方 经 系 统 查 询 未 查 询 到 相 关 业 务 说 明 ， 向 用 户 正 常 解 释 ， 用 户 不 认 可 ， 要 求 我 方 为 其 上 报 反 馈 并 核 实 处 理 ， 谢 谢 。
25042|用 户 来 电 反 映 对 2 0 2 0 0 9 - 2 0 2 0 1 1   月 份 产 生 的 2 4 . 4 元 流 量 费 用 存 在 疑 义 ， 按 移 动 上 网 日 志 向 用 户 正 常 解 释 ， 用 户 不 认 可 ， 我 方 按 照 快 速 流 程 核 减 费 用 ， 用 户 仍 不 认 可 ， 强 烈 要 求 我 方 查 询 具 体 原 因 ， 请 处 理 并 回 复 ， 谢 谢 ！
25043|客 户 来 电 反 映 无 法 接 收 到 短 信 ， 请 提 供 下 发 的 号 码 1 0 0 1 0   以 及 时 间 8 点 3 5 ， 为 客 户 记 录 反 映 ， 客 户 的 诉 求 要 求 尽 快 处 理 ， 请 处 理 ， 谢 谢
25044|用 户 来 电 称 自 己 的 号 码 无 法 接 收 短 信 ， 我 方 经 系 统 查 询 用 户 号 码 状 态 正 常 ， 用 户 不 认 可 ， 用 户 要 求 我 方 核 实 原 因 并 回 复 ， 请 处 理 ， 谢 谢
25045|用 户 来 电 反 映 称 手 机 号 码 经 常 收 到 短 信 轰 炸 ， 我 方 经 系 统 查 询 用 户 号 码 状 态 正 常 ， 用 户 不 认 可 ， 用 户 要 求 我 方 核 实 原 因 并 回 复 ， 请 处 理 谢 谢 ！
25046|客 服 中 心 接 到 客 户 反 映 通 过 通 信 大 数 据 行 程 卡 获 取 验 证 码 后 ， 提 示 “ 应 用 服 务 异 常 ” 。 客 户 诉 求 ： * * * * * * *
25047|客 服 中 心 接 到 客 户 反 映 通 过 通 信 大 数 据 行 程 卡 获 取 验 证 码 后 ， 提 示 “ 应 用 服 务 异 常 ” 。 客 户 诉 求 ： 用 户 来 电 反 映 自 己 无 法 查 询 行 程 ， 我 方 建 议 用 户 发 送 短 信 查 询 漫 游 地 拼 首 字 母 和 井 号 后 四 位 至 1 0 0 1 0 ， 用 户 称 还 是 无 法 查 询 ， 请 尽 快 核 实 处 理 ， 谢 谢
25048|用 户 来 电 反 映 自 己 的 手 机 号 码 经 常 接 到 骚 扰 电 话 ， 我 方 建 议 用 户 更 换 其 他 号 码 尝 试 ， 用 户 不 认 可 ， 称 自 己 是 蚂 蚁 金 服 的 客 服 ， 要 求 我 方 清 除 之 前 的 机 主 的 信 息 ， 请 处 理 ， 谢 谢 ！
25049|用 户 来 电 反 映 自 己 在 2 0 2 0 - 1 2 - 1 1   1 1 :   1 3 :   1 5   通 过 我 方 外 呼 办 理 了 承 诺 通 信 费 7 0 元 档 得 1 4 g b   流 量 与 权 益 （ 次 月 生 效 合 约 1 2 个 月 ） 业 务 ， 用 户 称 当 时 办 理 时 我 方 未 告 知 用 户 取 消 需 要 交 违 约 金 ， 用 户 要 求 我 方 核 实 取 消 需 要 交 违 约 金 的 原 因 ， 请 处 理 谢 谢 ！
25050|您 好 ， 您 反 映 的 问 题 我 们 已 经 记 录 ， 由 于 周 边 基 站 出 现 故 障 ， 导 致 该 地 址 周 边 信 号 覆 盖 较 差 ， 我 公 司 已 安 排 进 行 故 障 处 理 。 ” （ 如 用 户 强 烈 不 认 可 解 答 的 时 限 ， 则 解 答 为 因 该 问 题 解 决 涉 及 到 较 多 客 观 原 因 ， 非 我 公 司 可 控 ， 完 成 时 间 初 步 估 计 以 “ 失 效 时 间 ” 字 段 内 容 为 准 ） 。 ;   投 诉 现 象 最 近 发 生 时 间 ： 以 前 信 号 很 好 ， 最 近 信 号 不 好 ;
25051|用 户 来 电 反 映 对 2 0 2 1 0 1   月 份 产 生 的 1 0 元 流 量 费 用 存 在 疑 义 ， 按 移 动 上 网 日 志 向 用 户 正 常 解 释 ， 用 户 不 认 可 ， 我 方 按 照 快 速 流 程 核 减 费 用 ， 用 户 仍 不 认 可 ， 强 烈 要 求 我 方 查 询 具 体 原 因 ， 请 处 理 并 回 复 ， 谢 谢 ！
25052|非 常 感 谢 您 向 我 们 提 供 这 些 宝 贵 信 息 ， 我 们 已 经 对 您 反 应 的 问 题 进 行 记 录 反 馈 ， 同 时 我 公 司 也 会 持 续 优 化 网 络 ， 建 议 您 留 意 以 后 的 使 用 情 况 ， 谢 谢 ！ ; 投 诉 现 象 最 近 发 生 时 间 ： 以 前 信 号 很 好 ， 最 近 信 号 不 好 ;
25053|用 户 来 电 称 自 己 在 手 机 营 业 厅 办 理 宽 带 撤 机 ， 营 业 厅 人 员 没 有 给 用 户 办 理 ， 用 户 对 此 不 认 可 ， 请 处 理 谢 谢 ！
25054|* * * * * * * * 某 某 人 ， 用 户 来 电 称 在 多 个 地 方 上 网 速 度 慢 ， 建 议 用 户 更 换 手 机 ， 用 户 不 认 可 ， 系 统 显 示 状 态 正 常 ， 请 处 理 谢 谢
25055|用 户 来 电 对 2 0 2 1 . 0 1 月 产 生 的 4 0 . 5 0 元 的 流 量 费 有 疑 义 ， 我 方 经 系 统 查 询 安 上 网 日 志 向 用 户 解 释 ， 用 户 不 认 可 ， 我 方 按 快 速 处 理 向 用 户 核 减 费 用 ， 用 户 不 认 可 要 求 核 实 原 因 ， 请 处 理 ， 谢 谢 。
25056|* * * * * * * * 某 某 人 用 户 对 此 号 码 2 0 2 1 年 1   月 份 超 出 的 流 量 费 用 不 认 可 ， 用 户 称 此 号 码 并 未 使 用 这 么 多 流 量 ， 已 按 上 网 日 志 解 释 ， 用 户 称 并 未 使 用 这 么 多 ， 并 且 已 按 下 发 短 信 日 志 解 释 ， 用 户 称 也 未 收 到 任 何 短 信 提 示 ， 所 以 对 产 生 的 流 量 费 用 不 认 可 ， 出 于 服 务 角 度 ， 针 对 1   月 份 产 生 的 8 0 元 费 用 给 其 核 减 ， 用 户 认 可 ， 如 请 您 关 注 后 续 使 用 情 况 ， 今 后 如 果 再 次 发 生 同 类 问 题 将 不 再 做 核 减 处 理 。 我 们 将 在 3 个 工 作 日 内 完 成 费 用 处 理 ， 处 理 完 毕 后 ， 我 们 将 以 短 信 的 方 式 通 知 您 。
25057|用 户 来 电 反 映 自 己 的 手 机 号 码 无 法 查 询 到 行 程 ， 我 方 建 议 用 户 发 送 c x m y d #   本 手 机 号 对 应 身 份 证 号 后 四 位 至 1 0 0 1 0 ， 用 户 称 自 己 已 经 试 过 了 还 是 查 不 到 行 程 ， 现 用 户 要 求 我 方 核 实 原 因 并 回 复 ， 请 处 理 ， 谢 谢
25058|用 户 来 电 反 映 自 己 的 手 机 号 码 无 法 查 询 行 程 ， 可 以 接 收 到 短 信 ， 但 是 用 户 称 自 己 可 以 接 收 到 行 程 信 息 ， 用 户 要 求 我 方 尽 快 处 理 ， 请 处 理 ， 谢 谢 ！
25059|非 常 感 谢 您 向 我 们 提 供 这 些 宝 贵 信 息 ， 我 们 已 经 对 您 反 应 的 问 题 进 行 记 录 反 馈 ， 同 时 我 公 司 也 会 持 续 优 化 网 络 ， 建 议 您 留 意 以 后 的 使 用 情 况 ， 谢 谢 ！ ; 投 诉 现 象 最 近 发 生 时 间 ： 以 前 信 号 很 好 ， 最 近 信 号 不 好 ;
25060|用 户 来 电 反 映 自 己 手 机 在 手 机 营 业 厅 查 询 自 己 的 号 码 ， 显 示 不 出 来 号 码 ， 用 户 对 此 不 认 可 ， 要 求 我 方 核 实 原 因 ， 请 处 理 ， 谢 谢 ！
25061|用 户 来 电 反 映 手 机 在 所 有 地 方 均 无 法 连 接 网 络 ， 查 询 用 户 手 机 状 态 正 常 ， 已 为 用 户 一 键 体 检 ， 无 效 ； 建 议 用 户 换 机 尝 试 ， 用 户 不 认 可 ， 要 求 投 诉 ， 请 尽 快 处 理 ， 谢 谢 。
25062|用 户 来 电 反 映 自 己 没 有 办 理 过 轻 合 约 版 超 级 会 员 （ 黄 金 版 ） 次 月 生 效 业 务 ， 我 方 按 照 业 务 规 则 向 用 户 解 释 当 月 申 请 取 消 当 月 申 请 当 月 生 效 ， 当 月 按 照 不 收 取 费 用 ， 用 户 不 认 可 ， 称 自 己 没 有 办 理 过 ， 要 求 我 方 核 实 原 因 并 回 复 ， 请 处 理 ， 谢 谢
25063|用 户 来 电 反 映 称 自 己 名 下 有 一 个 联 通 号 码 * * * * * * * * ， 用 户 称 自 己 没 有 办 理 过 过 户 ， 用 户 称 自 己 现 在 不 在 北 京 ， 要 求 我 方 协 助 处 理 ， 烦 请 处 理 ， 谢 谢
25064|非 常 感 谢 您 向 我 们 提 供 这 些 宝 贵 信 息 ， 我 们 已 经 对 您 反 应 的 问 题 进 行 记 录 反 馈 ， 同 时 我 公 司 也 会 持 续 优 化 网 络 ， 建 议 您 留 意 以 后 的 使 用 情 况 ， 谢 谢 ！ ; 投 诉 现 象 最 近 发 生 时 间 ： 一 直 信 号 不 好 ;
25065|用 户 来 电 对 2 0 2 1 0 1   月 份 产 生 的 3 4 . 2 9 元 流 量 费 不 认 可 ， 我 方 经 系 统 查 询 安 上 网 日 志 向 用 户 解 释 ， 用 户 不 认 可 ， 称 自 己 没 有 使 用 过 ， 考 虑 用 户 情 况 ， 我 方 承 诺 为 其 核 减 3 4 . 2 9 元 ， 同 时 告 知 一 次 性 处 理 ， 无 法 打 印 发 票 ， 3 - 5   工 作 日 到 账 ， 用 户 认 可 ， 我 方 报 结 束 语 挂 机 （ 仅 调 账 ）
25066|* * * * * * * * 某 某 人 用 户 来 电 反 映 对 1 2   月 份 产 生 的 5 3 6 . 9 元 流 量 费 用 存 在 疑 义 ， 按 移 动 上 网 记 录 为 用 户 正 常 解 释 ， 用 户 不 认 可 ， 因 用 户 之 前 有 核 减 记 录 ， 未 承 诺 核 减 ， 请 处 理 ， 谢 谢 ！
25067|用 户 来 电 对 2 0 2 0 1 2   月 份 产 生 的 2 3 0 . 0 0 元 流 量 费 不 认 可 ， 我 方 经 系 统 查 询 安 上 网 日 志 向 用 户 解 释 ， 用 户 不 认 可 ， 称 自 己 没 有 使 用 过 ， 考 虑 用 户 情 况 ， 我 方 承 诺 为 其 核 减 2 3 0 . 0 0 元 ， 同 时 告 知 一 次 性 处 理 ， 无 法 打 印 发 票 ， 3 - 5   工 作 日 到 账 ， 用 户 认 可 ， 我 方 报 结 束 语 挂 机
25068|用 户 来 电 称 自 己 没 有 接 到 任 何 通 知 ， 我 方 经 系 统 查 询 用 户 号 码 欠 费 - 1 1   月 份 欠 费 0 . 1 5 元 ， 用 户 称 自 己 没 有 超 出 过 ， 用 户 要 求 我 方 核 实 欠 费 原 因 并 回 复 ， 请 处 理 谢 谢 ！
25069|客 服 中 心 接 到 客 户 反 映 通 过 通 信 大 数 据 行 程 卡 获 取 验 证 码 后 ， 提 示 “ 应 用 服 务 异 常 ” 。 客 户 诉 求 ： * * * * * * *
25070|非 常 感 谢 您 向 我 们 提 供 这 些 宝 贵 信 息 ， 我 们 已 经 对 您 反 应 的 问 题 进 行 记 录 反 馈 ， 同 时 我 公 司 也 会 持 续 优 化 网 络 ， 建 议 您 留 意 以 后 的 使 用 情 况 ， 谢 谢 ！ ; 投 诉 现 象 最 近 发 生 时 间 ： 以 前 信 号 很 好 ， 最 近 信 号 不 好 ;
25071|用 户 来 电 反 映 自 己 的 手 机 号 码 在 *   *   *   码 的 时 候 显 示 自 己 去 过 北 京 ， 但 是 用 户 称 自 己 并 没 有 去 过 北 京 ， 用 户 对 此 不 认 可 ， 请 尽 快 核 实 与 用 户 取 得 联 系 ， 谢 谢
25072|用 户 来 电 反 映 要 求 我 方 尽 快 安 装 宽 带 ， 我 方 告 知 用 户 可 申 请 新 装 宽 带 ， 用 户 不 认 可 ， 称 自 己 没 有 联 通 号 码 ， 要 求 我 方 尽 快 安 装 ， 请 处 理 ， 谢 谢 ！
25073|用 户 来 电 称 自 己 在 营 业 厅 办 理 宽 带 撤 机 ， 营 业 厅 人 员 告 知 用 户 需 要 机 主 本 人 带 着 身 份 证 原 件 和 所 在 营 业 厅 ， 用 户 称 自 己 去 营 业 厅 办 理 ， 营 业 厅 人 员 告 知 用 户 需 要 机 主 本 人 代 办 ， 用 户 称 自 己 在 营 业 厅 办 理 时 营 业 厅 人 员 告 知 用 户 需 要 机 主 本 人 代 办 ， 现 用 户 要 求 我 方 核 实 并 回 电 ， 请 处 理 ， 谢 谢 ！
