id|ret
25013|用户来电称自己办理了长话花呗金融购机合约24个月预存0元分期1000元购机款-全家福166元档专属，但是用户称自己找不到办理的地方，我方建议用户通过手机营业厅查询是否有查询到电子券，用户称自己找不到，用户要求我方核实，请处理，谢谢
25014|用户来电对202101月产生的19元的流量费有疑义，我方经系统查询安上网日志向用户解释，用户不认可，用户不认可要求核实原因，请处理，谢谢。
25015|用户来电查询自己上个月账单，我方查询到用户办理了沃家组网家庭wifi 服务，每月31年有路由器自动使用，用户称没有告知需要收取费用，我方查询到用户办理的沃家组网家庭wifi 服务每月31年有路由器自动使用，用户称没有告知需要收取费用，用户要求我方核实并回电，请处理，谢谢！
25016|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
25017|用户来电称在2021-01-15 15: 00: 00去鲁谷营业厅办理手机卡业务，用户称给一个15元话费的号码充值了150元，用户称营业厅人员给用户把15元话费给用户退还了，用户对此不认可，用户称自己已经把15元话费给用户退还了，用户要求我方核实处理，请尽快处理，谢谢！
25018|用户来电反映手机在所有地方均无法连接网络，查询用户手机状态正常，已为用户一键体检，无效；建议用户换机尝试，用户不认可，要求投诉，请尽快处理，谢谢。
25019|用户来电对202001 月份产生的434.16元流量费不认可，我方经系统查询安上网日志向用户解释，用户不认可，称自己没有使用过，考虑用户情况，我方承诺为其核减434.16元，同时告知一次性处理，无法打印发票，3-5 工作日到账，用户认可，我方报结束语挂机（仅调账）
25020|用户来电反映手机在所有地方均无法连接网络，查询用户手机状态正常，已为用户一键体检，无效；建议用户换机尝试，用户不认可，要求投诉，请尽快处理，谢谢。
25021|用户来电对202101月产生的120元的流量费有疑义，我方经系统查询安上网日志向用户解释，用户不认可，我方按快速处理向用户核减费用，用户不认可要求核实原因，请处理，谢谢。
25022|用户来电反映自己在永泰中路营业厅办理套餐变更，营业厅人员告知用户无法更改，用户对此不认可，要求我方尽快处理，请处理谢谢！
25023|用户来电反映对202101 月份产生的101.10元流量费用存在疑义，按移动上网日志向用户正常解释，用户不认可，我方按照快速流程核减费用，用户仍不认可，强烈要求我方查询具体原因，请处理并回复，谢谢！
25024|用户来电反映自己手机没有响过，但是漏话提醒基础版就没有了，用户对此不认可，要求我方核实原因，请处理，谢谢！
25025|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：以前信号很好，最近信号不好;
25026|********某某人用户来电反映，办理了花呗金融购机，称本月1月1日收到花呗还款红包47.22元，称自己在花呗里面没有还款券，称自己没有使用，已按移动用户上网流量明细正常解释，不认可，称自己办理的时候没有提示，要求核查原因，烦请核实并回复，谢谢！
25027|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：以前信号很好，最近信号不好;
25028|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：以前信号很好，最近信号不好;
25029|用户来电反馈，自己的号码为什么无法上网，我方查询到用户的号码状态是正常的，用户强烈不认可，烦请后台处理，谢谢！
25030|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
25031|用户来电称自己的手机号码办理了联通秘书，但是自己的联通秘书功能还是有延迟，我方查询用户从昨天开始联通秘书已经开通了，请尽快核实处理谢谢！
25032|用户来电反映自己号码一直接到联通电话，告知用户是之前用户朱威的号码，用户称自己是之前用户，用户称自己是联通的老用户，用户要求我方把之前的号码退给自己，请处理，谢谢！
25033|用户来电反映自己在2021-01-09 15: 15: 15去营业厅办理了5g升级包29元档专享7折优惠-次月生效业务，用户称自己没有办理成功，但是用户称自己没有要求办理，我方已正常向用户解释，用户对此强烈不认可，要求我方为其上报反馈处理，烦请处理，谢谢！
25034|用户来电反映自己在手机营业厅用积分兑换了一个小环，现在用不了了，用户表示自己在1月4号兑换的，兑换的时候显示质量问题，用户表示自己在积分商城用积分兑换的小环比较多，要求我方核实原因，请处理，谢谢！
25035|* * * ，用户来电称自己的手机号码总是接不到电话，我方建议用户重启手机，用户不认可，请处理，谢谢
25036|用户来电称自己没有时间去营业厅办理注销，但是有一某某人副卡丢失，无法去营业厅办理，用户要求我方协助注销，请处理，谢谢
25037|用户来电对2021.01月产生的140.00元的流量费有疑义，我方经系统查询安上网日志向用户解释，用户不认可，我方按快速处理向用户核减费用，用户不认可要求核实原因，请处理，谢谢。
25038|用户来电反映自己登录不了手机营业厅，我方建议用户换个时间段再试一下，用户不认可，要求我方反馈回复此问题，请处理，谢谢！
25039|* * * ，用户来电反映自己没有办理过承诺通信费得流量-次月生效（合约12个月），我方查询到用户办理的承诺通信费得流量-次月生效（合约12个月）业务，用户不认可，称自己没有办理过，要求我方核实情况，给自己进行处理，请处理，谢谢
25040|********用户来电反映，2020-11-11 16: 11: 06 通过北京联通微信公众号-12.12 感恩回馈活动，称自己在沃钱包支付的方式支付了20元话费券，用户称自己没有使用，要求核实原因，请尽快处理并回复。
25041|用户来电反馈自己号码********想办理一个半年包，我方经系统查询未查询到相关业务说明，向用户正常解释，用户不认可，要求我方为其上报反馈并核实处理，谢谢。
25042|用户来电反映对202009-202011 月份产生的24.4元流量费用存在疑义，按移动上网日志向用户正常解释，用户不认可，我方按照快速流程核减费用，用户仍不认可，强烈要求我方查询具体原因，请处理并回复，谢谢！
25043|客户来电反映无法接收到短信，请提供下发的号码10010 以及时间8点35，为客户记录反映，客户的诉求要求尽快处理，请处理，谢谢
25044|用户来电称自己的号码无法接收短信，我方经系统查询用户号码状态正常，用户不认可，用户要求我方核实原因并回复，请处理，谢谢
25045|用户来电反映称手机号码经常收到短信轰炸，我方经系统查询用户号码状态正常，用户不认可，用户要求我方核实原因并回复，请处理谢谢！
25046|客服中心接到客户反映通过通信大数据行程卡获取验证码后，提示“应用服务异常”。客户诉求：*******
25047|客服中心接到客户反映通过通信大数据行程卡获取验证码后，提示“应用服务异常”。客户诉求：用户来电反映自己无法查询行程，我方建议用户发送短信查询漫游地拼首字母和井号后四位至10010，用户称还是无法查询，请尽快核实处理，谢谢
25048|用户来电反映自己的手机号码经常接到骚扰电话，我方建议用户更换其他号码尝试，用户不认可，称自己是蚂蚁金服的客服，要求我方清除之前的机主的信息，请处理，谢谢！
25049|用户来电反映自己在2020-12-11 11: 13: 15 通过我方外呼办理了承诺通信费70元档得14gb 流量与权益（次月生效合约12个月）业务，用户称当时办理时我方未告知用户取消需要交违约金，用户要求我方核实取消需要交违约金的原因，请处理谢谢！
25050|您好，您反映的问题我们已经记录，由于周边基站出现故障，导致该地址周边信号覆盖较差，我公司已安排进行故障处理。”（如用户强烈不认可解答的时限，则解答为因该问题解决涉及到较多客观原因，非我公司可控，完成时间初步估计以“失效时间”字段内容为准）。; 投诉现象最近发生时间：以前信号很好，最近信号不好;
25051|用户来电反映对202101 月份产生的10元流量费用存在疑义，按移动上网日志向用户正常解释，用户不认可，我方按照快速流程核减费用，用户仍不认可，强烈要求我方查询具体原因，请处理并回复，谢谢！
25052|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：以前信号很好，最近信号不好;
25053|用户来电称自己在手机营业厅办理宽带撤机，营业厅人员没有给用户办理，用户对此不认可，请处理谢谢！
25054|********某某人，用户来电称在多个地方上网速度慢，建议用户更换手机，用户不认可，系统显示状态正常，请处理谢谢
25055|用户来电对2021.01月产生的40.50元的流量费有疑义，我方经系统查询安上网日志向用户解释，用户不认可，我方按快速处理向用户核减费用，用户不认可要求核实原因，请处理，谢谢。
25056|********某某人用户对此号码2021年1 月份超出的流量费用不认可，用户称此号码并未使用这么多流量，已按上网日志解释，用户称并未使用这么多，并且已按下发短信日志解释，用户称也未收到任何短信提示，所以对产生的流量费用不认可，出于服务角度，针对1 月份产生的80元费用给其核减，用户认可，如请您关注后续使用情况，今后如果再次发生同类问题将不再做核减处理。我们将在3个工作日内完成费用处理，处理完毕后，我们将以短信的方式通知您。
25057|用户来电反映自己的手机号码无法查询到行程，我方建议用户发送cxmyd# 本手机号对应身份证号后四位至10010，用户称自己已经试过了还是查不到行程，现用户要求我方核实原因并回复，请处理，谢谢
25058|用户来电反映自己的手机号码无法查询行程，可以接收到短信，但是用户称自己可以接收到行程信息，用户要求我方尽快处理，请处理，谢谢！
25059|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：以前信号很好，最近信号不好;
25060|用户来电反映自己手机在手机营业厅查询自己的号码，显示不出来号码，用户对此不认可，要求我方核实原因，请处理，谢谢！
25061|用户来电反映手机在所有地方均无法连接网络，查询用户手机状态正常，已为用户一键体检，无效；建议用户换机尝试，用户不认可，要求投诉，请尽快处理，谢谢。
25062|用户来电反映自己没有办理过轻合约版超级会员（黄金版）次月生效业务，我方按照业务规则向用户解释当月申请取消当月申请当月生效，当月按照不收取费用，用户不认可，称自己没有办理过，要求我方核实原因并回复，请处理，谢谢
25063|用户来电反映称自己名下有一个联通号码********，用户称自己没有办理过过户，用户称自己现在不在北京，要求我方协助处理，烦请处理，谢谢
25064|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
25065|用户来电对202101 月份产生的34.29元流量费不认可，我方经系统查询安上网日志向用户解释，用户不认可，称自己没有使用过，考虑用户情况，我方承诺为其核减34.29元，同时告知一次性处理，无法打印发票，3-5 工作日到账，用户认可，我方报结束语挂机（仅调账）
25066|********某某人用户来电反映对12 月份产生的536.9元流量费用存在疑义，按移动上网记录为用户正常解释，用户不认可，因用户之前有核减记录，未承诺核减，请处理，谢谢！
25067|用户来电对202012 月份产生的230.00元流量费不认可，我方经系统查询安上网日志向用户解释，用户不认可，称自己没有使用过，考虑用户情况，我方承诺为其核减230.00元，同时告知一次性处理，无法打印发票，3-5 工作日到账，用户认可，我方报结束语挂机
25068|用户来电称自己没有接到任何通知，我方经系统查询用户号码欠费-11 月份欠费0.15元，用户称自己没有超出过，用户要求我方核实欠费原因并回复，请处理谢谢！
25069|客服中心接到客户反映通过通信大数据行程卡获取验证码后，提示“应用服务异常”。客户诉求：*******
25070|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：以前信号很好，最近信号不好;
25071|用户来电反映自己的手机号码在* * * 码的时候显示自己去过北京，但是用户称自己并没有去过北京，用户对此不认可，请尽快核实与用户取得联系，谢谢
25072|用户来电反映要求我方尽快安装宽带，我方告知用户可申请新装宽带，用户不认可，称自己没有联通号码，要求我方尽快安装，请处理，谢谢！
25073|用户来电称自己在营业厅办理宽带撤机，营业厅人员告知用户需要机主本人带着身份证原件和所在营业厅，用户称自己去营业厅办理，营业厅人员告知用户需要机主本人代办，用户称自己在营业厅办理时营业厅人员告知用户需要机主本人代办，现用户要求我方核实并回电，请处理，谢谢！
25074|用户来电反映对1 月份产生的100元流量费用存在疑义，按移动上网日志向用户正常解释，用户不认可，我方按照快速流程核减费用，用户仍不认可，强烈要求我方查询具体原因，请处理并回复，谢谢！
25075|用户来电表示自己在手机营业厅办理49元20g大流量权益包，但是自己发现自己就自动续订了，现用户来电表示要求我方为其取消，请处理谢谢！
25076|用户来电对202012 月份产生的220元流量费不认可，我方经系统查询安上网日志向用户解释，用户不认可，称自己没有使用过，考虑用户情况，我方承诺为其核减220元，同时告知一次性处理，无法打印发票，3-5 工作日到账，用户认可，我方报结束语挂机（仅调账）
25077|********某某人，用户来电反映1 月份产生600元流量费，称流量超出没有及时提醒，对费用不认可，请尽快处理并回复。
25078|用户来电对202101月产生的18.2元的流量费有疑义，我方经系统查询安上网日志向用户解释，用户不认可，我方按快速处理向用户核减费用，用户不认可要求核实原因，请处理，谢谢。
25079|用户来电称自己使用的都是免流软件为什么走的自己的流量，我方按照上网日志与用户解释并告知用户可以通过手厅查询流量使用情况，用户不认可，现用户要求我方反馈核实处理，请处理，谢谢
25080|用户来电反映自己办理套餐时没有告知有违约金，我方已向用户正常解释，用户不认可，用户称当时办理时我方并未告知有违约金，现用户要求我方核实原因并回复，请处理，谢谢
25081|用户来电反映收到短信提示用户积分兑换了一个洗手液，用户称自己没有使用，我方经系统查询用户兑换积分为0分，用户不认可，用户要求我方核实原因并回复，请处理谢谢！
25082|用户来电称多个号码都显示送餐，我方经系统查询显示用户有送餐3.6元，用户不认可，称自己没有去过，要求后台核实并尽快联系处理，谢谢
25083|用户来电反映手机在所有地方均无法连接网络，查询用户手机状态正常，已为用户一键体检，无效；建议用户换机尝试，用户不认可，要求投诉，请尽快处理，谢谢。
25084|********某某人，用户来电反映在2021-01-24 15: 15: 15 办理了携号转网，但现发现号码转到了********，用户称自己已经接收到了，现对此不满，要求核实处理并回复。
25085|用户来电称，自己手机号码被停机，我方查询到用户号码被疑似骚扰停机（标记）停机，我方已向用户正常解释，用户强烈不认可，用户称自己手机号码被停机，我方查询到用户号码被疑似骚扰停机（标记）关停，用户强烈不认可，用户称自己手机号码为什么会停机，烦请后台人员处理，谢谢
25086|********用户来电反映，称自己从北京到河南，大数据行程码显示去过凤贤地区，用户称自己并没有去过，要求我方核实，请尽快处理并回复。
25087|用户来电称自己没有办理宽带续费，为什么会有一个9元2g 流量包，我方查询到用户办理的是全家福148 专属，用户称自己没有办理过，我某某人常解释，用户不认可，请处理，谢谢
25088|用户来电反映手机在所有地方均无法连接网络，查询用户手机状态正常，已为用户一键体检，无效；建议用户换机尝试，用户不认可，要求投诉，请尽快处理，谢谢。
25089|客户来电反映行程码无法正常使用，我方建议客户稍后再试，客户不认可，要求我方上报反馈，请处理，谢谢！
25090|用户来电反映对欠费-64.62元有疑义，我方经系统查询用户欠费为2020年4月-2021年1月欠费，向用户正常解释，用户不认可，称自己办理的包年业务，没有超出，要求我方核实原因并回复，请处理，谢谢
25091|********用户来电反映，2020年5月5日没有办理畅爽冰激凌5g套餐299元购机套餐折扣（7折）12个月合约（社会渠道）合约，现要求核实原因，请尽快处理并回复。
25092|用户来电反映自己在手机营业厅订购了一个30元10g 冰激凌套餐本地版（已统一全国和本地流量计费方式），用户称自己在手机营业厅办理的时候没有提示自己，用户对此不认可，用户称自己订购的时候也没有提示自己，用户要求我方核实原因，请处理，谢谢
25093|用户来电反映对1 月份产生的60元流量费用存在疑义，按移动上网日志向用户正常解释，用户不认可，我方按照快速流程核减费用，用户仍不认可，强烈要求我方查询具体原因，请处理并回复，谢谢！
25094|用户来电反映对订购的30元6g大流量权益包（立即生效）有疑义，我方经系统查询用户在2021-01-08 09: 19: 19 订购的，用户不认可，称自己没有订购过，要求我方退还本月产生的费用，请处理，谢谢
25095|客户来电反映无法接收到短信，请提供下发的号码********以及时间2021.02.10: 上午8点，为客户记录反映，客户的诉求要求尽快处理，谢谢！
25096|用户来电反映自己的手机号码收到了短信提示，用户称自己没有收到，用户要求我方尽快为其补发，请尽快处理，谢谢！
25097|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
25098|用户来电反映手机号码订购了9元10g 今日头条国内定向流量，用户称自己没有订购此流量包，我方经系统查询用户订购的是9元10g 今日头条国内定向流量，用户不认可，要求我方核实原因并退费，请处理，谢谢
25099|用户来电对2021年3月产生的流量有异议，称自己没有使用这么多，我方按照上网日志及客户使用情况正常解释，用户不认可，要求我方核实无法正常使用的原因并回复请处理，谢谢。
25100|客户来电反映自己本月超出流量136.89元，我方按上网日志解释，用户不认可，我方按快速流程处理，用户承担90元，其余核减，我方承诺为其核减136.89元，烦请后台处理谢谢。* * *
25101|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：以前信号很好，最近信号不好;
25102|用户来电反映对央视影音免流服务不认可，我方已按照口径解释，用户不认可，称自己央视影音免流范围内的流量使用多少，要求我方核实，请处理，谢谢！
25103|用户来电反映自己的手机号码行程卡问题，用户称自己的行程卡显示去过其他地方，但是用户称自己没有去过，现用户要求我方协助处理，请处理，谢谢！
25104|用户来电称自己在手机营业厅兑换了一个小礼品，半个月没有收到，但是半个月还没有收到，用户要求我方核实处理，请处理谢谢！
25105|用户来电反馈自己号码********在本月产生了21元的上网流量费，我方按照上网日志与用户解释并告知用户可以通过手厅查询流量使用情况，用户不认可，要求我方为其上报反馈并核实处理，烦请尽快处理，谢谢。
25106|********用户再次来电反映本机号码流量使用问题，详见：ts********（完成），称自己没有收到短信提醒，要求我方尽快核实处理此问题，请尽快核实处理谢谢！
25107|用户来电反映宽带无法上网，我方经系统查询用户宽带状态正常，建议用户重启宽带编码或光猫和路由器尝试，用户不认可，称自己重启多次，要求我方核实原因并尽快回电，请处理，谢谢
25108|********用户来电反映本机号码无法发送短信，经系统查询该号码状态正常，短信中心号码设置正常，用户强烈不认可，称自己的号码信号是正常的，要求我方核实原因并回复，谢谢。
25109|********某某人，此号码在2021-01-16 14: 15: 15 使用了腾讯专属流量，用户称一直使用的是腾讯专属流量，对此不认可，请核实之后并回复谢谢！
25110|用户来电反映自己手机号码无法使用，经我方核实用户为局方停机，我方按照知识库口径与用户解释：经核查，您的号码由于呼叫频次异常，根据行业监管部门管理要求，我公司现已对该号码进行关停。”请机主本人务必携带身份证原件和手机号卡，至联通自有营业厅进行实名认证并签写承诺函后可复机一次，需要提示您，请规范呼叫行为，若仍出现呼叫频次异常被停机，将不允复机。”若客户无sim卡，需提供辅助认证（3-6个月缴费凭证、通话记录、服务密码任选2项），机主本人持身份证原件到厅
25111|用户来电反映称在2020-12-05 15: 51: 15 接到我方外呼电话办理了5g全家福套餐，用户称当时办理时告知用户可以免费续费5g全家福套餐，用户称当时办理时工作人员告知用户可以免费续费5g全家福套餐，用户称当时办理时工作人员告知用户可以免费续费5g全家福套餐，用户称当时办理时营业厅人员告知用户可以免费续费5g全家福套餐，用户称当时办理时营业厅人员告知用户可以免费续费5g全家福套餐，用户称当时办理时营业厅人员告知用户可以免费续费5g全家福套餐，用户称当时办理时营业厅人员告知用户可以免费续费5g全家福套餐，用户称当时营业厅人员告知用户可以免费
25112|用户来电反馈自己号码行程卡问题，用户称自己去过越南，但是自己没有去过，用户要求我方为其核实具体原因，烦请相关人员核实并处理，谢谢。
25113|用户来电对202101月产生的383.48元的流量费有疑义，我方经系统查询安上网日志向用户解释，用户不认可，我方按快速处理向用户核减费用，用户不认可要求核实原因，请处理，谢谢。
25114|用户来电反映自己的手机号码信号正常，但是无法上网，我方通过系统查询用户手机状态正常，一键体检正常，请处理，谢谢！
25115|用户来电反映自己新开卡的号码，用户称自己不知道自己的身份证是什么，我方告知用户新开卡需要用户提供一些相关的信息，用户不认可，用户称自己不知道自己的身份证是什么，我方告知用户可以让他提供一些相关的信息，用户不认可，用户要求我方提供一些相关的信息，请尽快核实处理谢谢！
25116|用户来电反馈，针对于12月产生的手机上网流量费30元不认可，我方按照上网日志解释，用户不认可，烦请后台处理，谢谢！
25117|用户来电称********号码要办理补换卡，我方告知用户异地补换卡，用户称自己是流量通用，想要在全国营业厅通用，我方告知用户异地补换卡，用户称自己是流量通用，要求我方为其上报反馈，请处理，谢谢！
25118|客服中心接到客户反映通过通信大数据行程卡获取验证码后，提示“应用服务异常”。客户诉求：*******
25119|客户来电反映无法接收到短信，请提供下发的号码* * * * * * 以及时间**:**:**，为客户记录反映，客户的诉求* * * *
25120|用户来电反映自己昨天交了30元腾讯大王卡，但是现在查询扣费了，我方查询到用户有1个月的上网费用，用户称自己没有使用，我方查询到用户有1个月的上网费用，用户称自己没有使用，用户要求我方核实原因并回复，请处理，谢谢！
25121|用户来电反映宽带网速慢，我方查询用户宽带为5g套餐，用户称在所有位置信号正常，无法上网，用户要求核实具体原因，请处理，谢谢。
25122|用户来电反映之前问题，详见工单流水号：ts********，用户称之前反馈的问题没有解决，要求我方将费用退还，请处理，谢谢
25123|用户来电反映自己在双12 参加了充值500返600元的活动，但是用户称自己在公众号里面查看不到话费券，我方已正常向用户解释，用户不认可，要求我方上报反馈，请处理，谢谢！
25124|用户来电反映对1 月份产生的24元流量费用存在疑义，按移动上网日志向用户正常解释，用户不认可，我方按照快速流程核减费用，用户仍不认可，强烈要求我方查询具体原因，请处理并回复，谢谢！
25125|用户来电咨询宽带续约我方经查询用户在2021-02-08 14: 12: 32有短信通知用户办理的宽带续费信息我方经查询用户在2021-02-08 14: 12: 32有一个宽带续费信息用户称收到了一条短信提示用户办理了宽带续费，用户对此不认可要求我方核实请核实处理谢谢
25126|********用户来电反映，针对202101月产生的10.2元的流量费不认可，称并没有使用非腾讯的app，已按移动用户上网流量明细正常解释，不认可，称与实际使用不符，要求核查原因，反映强烈，请尽快处理并回复，谢谢。（经查前期曾为其减免过流量费用）
25127|用户来电反映称自己号码是赵婷的，之前是自己使用过，但是一直接到之前的银行的短信，用户称自己的号码是经常有赵婷的信息使用过，用户对此不认可，用户要求我方尽快处理，谢谢* * *
25128|用户来电称自己的号码在********有欠费，用户称自己没有开通过，我方通过系统查询用户号码欠费为-2.10，用户称自己没有开通过，用户要求我方核实原因，请处理谢谢！
25129|用户来电对202101月产生的37.80元的流量费有疑义，我方经系统查询安上网日志向用户解释，用户不认可，我方按快速处理向用户核减费用，用户不认可要求核实原因，请处理，谢谢。
25130|客户来电反映无法接收到短信，请提供下发的号码********以及时间2021.02.10: 上午8点，为客户记录反映，客户的诉求尽快处理。
25131|用户来电反馈自己办理宽带续费成功了，但是在地址上还是显示原来的门301，用户对此不认可，要求我方上报反馈，请处理，谢谢！
25132|客服中心接到客户反映通过通信大数据行程卡获取验证码后，提示“应用服务异常”。客户诉求：*******
25133|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：以前信号很好，最近信号不好;
25134|用户来电反映自己的手机号码是外地的，但是自己的流量使用问题一直没有得到有效的处理，用户要求我方尽快处理此问题，请尽快核实与用户取得联系，谢谢
25135|用户来电反映手机在所有地方均无法连接网络，查询用户手机状态正常，已为用户一键体检，无效；建议用户换机尝试，用户不认可，要求投诉，请尽快处理，谢谢。！
25136|用户来电对12月产生的78.30元的流量费有疑义，我方经系统查询安上网日志向用户解释，用户不认可，我方按快速处理向用户核减费用，用户不认可要求核实原因，请处理，谢谢。
25137|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
25138|用户来电称自己办理的宽带，订单号********，用户称自己预约的宽带一直没有人联系，用户要求尽快安装，请处理，谢谢
25139|用户来电反馈自己查询不到行程码，我方已向用户正常解释，用户对此强烈不认可，要求我方为其上报反馈，烦请处理谢谢！
25140|用户来电对202101月产生的40元的流量费有疑义，我方经系统查询安上网日志向用户解释，用户不认可，我方按快速处理向用户核减费用，用户不认可要求核实原因，请处理，谢谢。
25141|用户来电对202101月产生的20.00元的流量费有疑义，我方经系统查询安上网日志向用户解释，用户不认可，我方按快速处理向用户核减费用，用户不认可要求核实原因，请处理，谢谢。
25142|********某某人用户来电反映，此号码在2021-02-01 期间使用的是抖音定向流量，称期间并未走免流包的流量，已按移动上网查询向用户解释，用户坚称并未使用此号码上网，现对产生的流量不认可，请尽快处理并回复。
25143|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：一直信号不好;
25144|非常感谢您向我们提供这些宝贵信息，我们已经对您反应的问题进行记录反馈，同时我公司也会持续优化网络，建议您留意以后的使用情况，谢谢！;投诉现象最近发生时间：以前信号很好，最近信号不好;
25145|用户来电反映自己的14天内的行程卡显示山东聊城，用户称自己没有去过，用户称自己4号离开北京，但是行程卡显示山东聊城，用户要求我方为其处理此问题，烦请处理谢谢！
25146|用户来电反映自己要办理宽带但是在异地营业厅办理业务不方便，我方告知用户可以把其他的号码转到外地营业厅办理，用户不认可，称自己现在在北京，要求我方为其办理宽带业务，请处理，谢谢
25147|用户来电反映对套餐资费有疑义，我方经系统查询用户套餐为398元冰激凌套餐5折优惠，向用户正常解释，告知用户套餐原价399元购机套餐折扣折扣折扣折扣合约（社会渠道24个月），优惠后每月299元，用户称自己办理的是千兆宽带，我方经系统查询用户原套餐原价399元冰激凌套餐5折优惠后每月可使用60g 流量，用户对此不认可，称自己办理的时候没有告知自己，现用户要求我方核实原因并回复，请处理，谢谢
25148|********用户来电反映本机号码无法使用，经查询局方停机（12321 骚扰举报关停），已按口径解释，用户不认可，称自己不在北京，无法回到北京办理，要求我方协助开机，请尽快处理，谢谢！
25149|用户来电反映手机在所有地方均无法连接网络，查询用户手机状态正常，已为用户一键体检，无效；建议用户换机尝试，用户不认可，要求投诉，请尽快处理，谢谢。
